annotator	candidate_id	clip_id	shared_overlap
galya	cand_01c61e5c7fe1	D2_S20260520151119_E20260520151519_anon	true
galya	cand_0662fd106600	D2_S20260523104347_E20260523104753_anon	true
galya	cand_0718718fdc22	D2_S20260522151152_E20260522151804_anon	true
galya	cand_0786ab5cf6c5	D2_S20260521112037_E20260521112553_anon	true
galya	cand_0b5b1ea3711a	D2_S20260521140835_E20260521141129_anon	true
galya	cand_0c6750d64ade	D2_S20260520171509_E20260520171843_anon	false
galya	cand_10120b87a453	D2_S20260521133647_E20260521134049_anon	false
galya	cand_10b127ad3e80	D2_S20260520151119_E20260520151519_anon	false
galya	cand_113592415f17	D2_S20260526184718_E20260526184922_anon	false
galya	cand_135b131d09fb	D2_S20260526185126_E20260526185806_anon	false
galya	cand_13f8293e5576	D2_S20260526162956_E20260526163416_anon	false
galya	cand_1492062bc24a	D2_S20260522010204_E20260522010734_anon	false
galya	cand_16cee0cca921	D2_S20260521172245_E20260521172449_anon	false
galya	cand_1a867db5f36a	D2_S20260526153840_E20260526154202_anon	false
galya	cand_1b0fca8894ed	D2_S20260523104347_E20260523104753_anon	false
galya	cand_1e92ae71a29e	D2_S20260521112037_E20260521112553_anon	false
galya	cand_1f7244c267d4	D2_S20260520141225_E20260520141509_anon	false
galya	cand_1f9594d0b117	D2_S20260522151152_E20260522151804_anon	false
galya	cand_2a4eff0c8c52	D2_S20260520151119_E20260520151519_anon	false
galya	cand_2c709976b309	D2_S20260523105657_E20260523110017_anon	false
galya	cand_30d62d132f87	D2_S20260526192124_E20260526192522_anon	false
galya	cand_319262dbc237	D2_S20260520171509_E20260520171843_anon	false
galya	cand_325761186071	D2_S20260526201630_E20260526201736_anon	false
galya	cand_326a40f32e81	D2_S20260520141725_E20260520142151_anon	false
galya	cand_33ed94ec7042	D2_S20260523104347_E20260523104753_anon	false
galya	cand_36ff8e1200bd	D2_S20260521225257_E20260521225547_anon	false
galya	cand_38d950cba625	D2_S20260520171509_E20260520171843_anon	false
galya	cand_3a43c8e360b8	D2_S20260521133647_E20260521134049_anon	false
galya	cand_3bc22822df71	D2_S20260522151152_E20260522151804_anon	false
galya	cand_3efbcdcc279b	D2_S20260523102833_E20260523103217_anon	false
galya	cand_405eb10e54a2	D2_S20260526155844_E20260526160148_anon	false
galya	cand_462ef0b84280	D2_S20260522132934_E20260522133448_anon	false
galya	cand_465e67b8b7f5	D2_S20260522151152_E20260522151804_anon	false
galya	cand_4682d07af906	D2_S20260520171509_E20260520171843_anon	false
galya	cand_47473d2b1f0d	D2_S20260526185126_E20260526185806_anon	false
galya	cand_4823dc3be530	D2_S20260521133647_E20260521134049_anon	false
galya	cand_49b232b8b66f	D2_S20260523104347_E20260523104753_anon	false
galya	cand_4a4adfc7dd20	D2_S20260522151810_E20260522152016_anon	false
galya	cand_4ae07ec74e69	D2_S20260521112037_E20260521112553_anon	false
galya	cand_4b43955817f4	D2_S20260526155150_E20260526155432_anon	false
marieta	cand_01c61e5c7fe1	D2_S20260520151119_E20260520151519_anon	true
marieta	cand_0662fd106600	D2_S20260523104347_E20260523104753_anon	true
marieta	cand_0718718fdc22	D2_S20260522151152_E20260522151804_anon	true
marieta	cand_0786ab5cf6c5	D2_S20260521112037_E20260521112553_anon	true
